iter	Passed	Remaining
0	57	57537
1	57	28912
2	58	19375
3	58	14582
4	59	11760
5	59	9854
6	59	8483
7	60	7463
8	60	6667
9	60	6034
10	61	5519
11	61	5085
12	62	4717
13	62	4402
14	63	4143
15	63	3902
16	63	3689
17	64	3495
18	64	3327
19	64	3179
20	65	3039
21	65	2913
22	65	2797
23	66	2689
24	66	2590
25	66	2501
26	67	2422
27	67	2346
28	68	2277
29	68	2209
30	68	2144
31	68	2084
32	69	2030
33	69	1978
34	69	1927
35	70	1880
36	70	1837
37	70	1794
38	71	1754
39	71	1715
40	71	1680
41	72	1645
42	72	1615
43	72	1584
44	73	1553
45	73	1524
46	73	1497
47	74	1470
48	74	1445
49	74	1424
50	75	1399
51	75	1378
52	76	1358
53	76	1337
54	76	1316
55	76	1296
56	77	1277
57	77	1259
58	77	1243
59	78	1226
60	78	1212
61	79	1196
62	79	1180
63	79	1164
64	79	1149
65	80	1135
66	80	1121
67	80	1107
68	81	1094
69	81	1080
70	81	1068
71	81	1055
72	82	1045
73	82	1033
74	82	1022
75	83	1011
76	83	1001
77	83	990
78	84	980
79	84	970
80	84	960
81	84	951
82	85	940
83	85	931
84	85	923
85	86	914
86	86	906
87	86	898
88	86	889
89	87	883
90	87	877
91	88	869
92	88	862
93	88	856
94	89	848
95	89	841
96	89	834
97	89	827
98	90	820
99	90	815
100	90	809
101	91	802
102	91	796
103	91	791
104	92	785
105	92	779
106	92	774
107	93	769
108	93	764
109	93	760
110	94	755
111	94	751
112	95	746
113	95	741
114	95	737
115	96	733
116	96	728
117	96	724
118	97	719
119	97	715
120	97	711
121	98	707
122	98	702
123	98	698
124	99	694
125	99	690
126	99	685
127	100	681
128	100	678
129	100	674
130	101	670
131	101	666
132	101	663
133	102	659
134	102	656
135	102	652
136	103	649
137	103	645
138	103	643
139	104	640
140	104	636
141	104	632
142	104	629
143	105	625
144	105	622
145	105	619
146	106	616
147	106	613
148	106	610
149	107	607
150	107	604
151	107	601
152	108	598
153	108	595
154	108	593
155	109	591
156	109	588
157	110	586
158	110	583
159	110	581
160	110	577
